Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-07-14,4206,,1244,2441,4284,1562,2900,4252,
2012-12-10,3169,,1460,2261,4045,2564,448,3224,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-01-22,71,,0,41,73,35,5,0,
2012-03-25,520,,243,309,691,427,145,723,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-09-13,6520,,3076,4369,7514,4494,1986,5742,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-08-07,4756,,1497,2407,4495,2089,4386,5535,
2012-02-26,78,,0,76,47,35,4,0,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-03-03,82,,0,65,133,47,2,0,
2012-04-16,3643,,1841,2723,4830,2677,1061,3616,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-01-04,662,,341,442,824,471,168,1086,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-03-31,980,,499,587,1083,706,524,1370,
2012-03-17,681,,287,422,872,468,334,1008,
2012-08-13,4931,,2298,3124,5936,3151,2090,4842,
2012-11-05,4639,,1803,3663,5713,2888,1260,4499,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-04-03,107,,2,79,138,60,15,0,
2012-01-03,92,,0,56,199,63,0,14,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-07-16,4827,,2092,3141,6049,2965,1703,4379,
2012-10-15,3292,,1678,2165,4197,2754,560,3183,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-10-02,303,,1,206,478,216,6,2,
2012-08-05,1241,,625,991,1729,1007,119,1383,
2012-05-18,5980,,2241,4415,6646,3196,1711,5273,
2012-01-26,306,,0,215,495,191,0,1,
2012-02-14,318,,0,186,504,243,9,1,
2012-04-19,4231,,2010,3235,5311,2877,1206,3929,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-03-10,4685,,2377,3191,5475,3415,858,3941,
2012-09-03,371,,8,279,575,268,8,38,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-04-07,5153,,2038,3591,5814,3070,1246,4493,
2012-08-24,5690,,2394,3778,6703,3312,2178,5299,
2012-11-07,6424,,2548,3921,7374,3781,2779,5474,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-02-18,220,,1,159,280,134,30,0,
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-05-16,4947,,2178,3681,5882,3057,1332,4348,
2012-02-27,119,,4,94,298,134,3,5,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-06-10,1304,,469,933,1589,776,236,1775,
2012-01-28,80,,1,61,123,33,9,1,
2012-09-25,5038,,2236,3273,5861,3712,1007,4420,
2012-06-05,3411,,1525,1815,3346,1879,2036,4633,
2012-02-05,3724,,1677,2885,4731,2508,876,3501,
2012-07-01,98,,2,80,108,53,6,54,
2012-03-30,1157,,529,910,1596,957,196,1288,
2012-10-05,2755,,1227,2130,4056,2075,399,2437,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-09-16,3635,,1231,1614,3040,1852,2348,3696,
2012-10-09,5077,,2792,3718,6644,3849,1271,4984,
2012-02-10,5139,,2525,3281,5845,3732,1229,4497,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-10-23,4177,,1997,2795,5216,3233,795,3554,
2012-10-19,1313,,597,885,1668,1209,111,1486,
2012-02-16,386,,1,212,569,295,10,0,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-02-03,143,,0,56,283,77,7,1,
2012-05-30,6459,,2722,4806,7632,3817,2454,5172,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-10-03,182,,13,162,296,165,0,58,
2012-02-13,211,,0,175,408,207,4,0,
2012-03-04,2416,,1078,1791,3556,1880,513,2450,
2012-05-06,5842,,2721,3927,7302,3786,1232,5348,
2012-03-14,469,,146,313,739,451,0,336,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-04-05,2511,,1163,2058,3717,1823,380,2631,
2012-06-22,5398,,1934,3612,6659,3252,2009,5263,
2012-11-02,71,,0,63,112,49,3,0,
2012-06-18,5921,,2703,3582,6824,3960,2455,5496,
2012-01-21,53,,0,47,70,32,1,0,
2012-05-25,5697,,2205,4096,6734,3341,1953,5174,
2012-07-29,4230,,1332,1791,4235,1905,3731,4906,
2012-03-27,1049,,517,774,1576,972,163,1207,
2012-09-30,876,,359,513,957,520,133,1162,
2012-09-02,342,,0,227,471,231,11,0,
2012-07-20,5813,,2088,3744,6959,3316,2538,5775,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-02-25,62,,0,48,52,18,2,5,
2012-06-15,7077,,2469,4999,7663,4053,2293,6491,
2012-02-17,332,,3,237,496,260,11,1,
